count,obj_id,meta_url,source_url,source_path,source_md5,image_path,image_md5,title,artist_display_name,dominant_color,dominant_color_hex,r,g,b,r_jitter10x_bw,g_jitter10x_bw,b_jitter10x_bw,color_jitter10x_bw,gridX,gridY,umap_jitter_X,umap_jitter_Y,umapX,umapY,cluster
11,437662,https://collectionapi.metmuseum.org/public/collection/v1/objects/437662,https://images.metmuseum.org/CRDImages/ep/original/DP169500.jpg,unprocessed/image-437662.png,37d9501e63c0e46829711b0fc929b888,images/437662-00.png,b5618ca10492273a193280be68c9529e,"William Archer Shee (1810–1899), the Artist's Son",Sir Martin Archer Shee,"(66, 38, 17)",#422611,66,38,17,54,45,13,#362d0d,0.02857,-0.67568,0.23256,-0.43023,0.22585,-0.43352,Cluster 5
12,11973,https://collectionapi.metmuseum.org/public/collection/v1/objects/11973,https://images.metmuseum.org/CRDImages/ad/original/DP168958.jpg,unprocessed/image-11973.png,7ecea0c2972e68ecd4b2873166242be8,images/11973-00.png,96b454e163ef4dc12ccb8da7b538658f,Portrait of a Lady,Moses B. Russell,"(133, 117, 102)",#857566,133,117,102,141,110,109,#8d6e6d,0.42857,0.67568,0.73256,0.62791,0.72213,0.62088,Cluster 7
13,12664,https://collectionapi.metmuseum.org/public/collection/v1/objects/12664,https://images.metmuseum.org/CRDImages/ad/original/ap88.18.jpg,unprocessed/image-12664.png,86d96fed5ec442cf46e2296c908eb89f,images/12664-00.png,600a7796a963eee7e080c7a554d1005c,George Washington,Gilbert Stuart,"(123, 117, 118)",#7b7576,123,117,118,127,129,118,#7f8176,0.71429,-0.08108,0.7093,-0.46512,0.68806,-0.46901,Cluster 4
14,437918,https://collectionapi.metmuseum.org/public/collection/v1/objects/437918,https://images.metmuseum.org/CRDImages/ep/original/DP-17623-001.jpg,unprocessed/image-437918.png,b42dfc6a2caa7a0e495f93186b8c20cd,images/437918-00.png,fcbc0db9dd575348ab310eea1b22bba8,Portrait of a Young Woman,Cornelis de Vos,"(69, 52, 28)",#45341c,69,52,28,81,54,32,#513620,0.37143,0.67568,0.66279,0.62791,0.65596,0.6242,Cluster 7
15,13053,https://collectionapi.metmuseum.org/public/collection/v1/objects/13053,https://images.metmuseum.org/CRDImages/ad/original/ap18.118.jpg,unprocessed/image-13053.png,f09e99446d59af9a89ddbc25a9544477,images/13053-00.png,04a0e639f9f162008e5dce7721d50c54,Portrait of the Artist,John Vanderlyn,"(119, 102, 64)",#776640,119,102,64,119,98,66,#776242,0.42857,0.08108,0.62791,-0.22093,0.6116,-0.21596,Cluster 4
16,643540,https://collectionapi.metmuseum.org/public/collection/v1/objects/643540,https://images.metmuseum.org/CRDImages/ep/original/DP341866.jpg,unprocessed/image-643540.png,0f60f907ccfa5ab473b2108e71317de5,images/643540-00.png,8cf719a4df119da6bfab99e966c684a3,Portrait of a Woman,Giovanni Battista Gaulli (Il Baciccio),"(74, 59, 48)",#4a3b30,74,59,48,82,63,65,#523f41,0.65714,0.67568,0.82558,0.51163,0.83666,0.52179,Cluster 2
17,12819,https://collectionapi.metmuseum.org/public/collection/v1/objects/12819,https://images.metmuseum.org/CRDImages/ad/original/DT222199.jpg,unprocessed/image-12819.png,7f419bf05eee4902cfacfab2346559ea,images/12819-00.png,00a4225d78124041cb6d8987b4f0ef85,Alexander Hamilton,John Trumbull,"(123, 96, 72)",#7b6048,123,96,72,124,81,74,#7c514a,0.82857,-0.2973,0.63953,-0.51163,0.63994,-0.50976,Cluster 4
18,459053,https://collectionapi.metmuseum.org/public/collection/v1/objects/459053,https://images.metmuseum.org/CRDImages/rl/original/DT3076.jpg,unprocessed/image-459053.png,b7949516d03d712c469f6d99fee22beb,images/459053-00.png,f6f5a8de064c361117ca6429c1eda25a,Virgin and Child,Hans Memling,"(142, 105, 57)",#8e6939,142,105,57,142,82,68,#8e5244,0.94286,0.94595,0.9186,0.4186,0.92511,0.43225,Cluster 2
19,436986,https://collectionapi.metmuseum.org/public/collection/v1/objects/436986,https://images.metmuseum.org/CRDImages/ep/original/DT1461.jpg,unprocessed/image-436986.png,ab230d227a7148942a2906af0e5e6003,images/436986-00.png,dae8ce8d29d061d55ea239dfc872cc1d,Portrait of a Woman,Quinten Massys,"(134, 112, 85)",#867055,134,112,85,123,93,81,#7b5d51,-0.6,0.45946,-0.01163,0.44186,-0.02319,0.44172,Cluster 3
20,15025,https://collectionapi.metmuseum.org/public/collection/v1/objects/15025,https://images.metmuseum.org/CRDImages/ad/original/DP161507.jpg,unprocessed/image-15025.png,8892660ea765de2bff4691ab082eb55a,images/15025-00.png,a5c3c1ece57359ecf9d2a34b5355e6e8,Portrait of a Lady,Louis Antoine Collas,"(137, 117, 111)",#89756f,137,117,111,131,123,101,#837b65,0.54286,0.94595,0.77907,0.74419,0.7774,0.74082,Cluster 7
21,437687,https://collectionapi.metmuseum.org/public/collection/v1/objects/437687,https://images.metmuseum.org/CRDImages/ep/original/DP143190.jpg,unprocessed/image-437687.png,1d84195c5f684455b35b345277d9167d,images/437687-00.png,5b24401f8ed98fcfba38fd2112a8119f,Johan Hulshout (1623–1687),Pieter van Slingelandt,"(57, 39, 20)",#392714,57,39,20,61,37,24,#3d2518,0.2,-0.08108,0.45349,-0.16279,0.45076,-0.1667,Cluster 5
22,12940,https://collectionapi.metmuseum.org/public/collection/v1/objects/12940,https://images.metmuseum.org/CRDImages/ad/original/DT9035.jpg,unprocessed/image-12940.png,14867b5947ac906302da6f1dd68fb935,images/12940-00.png,3a7a4be015ce7276f549e0177e77f63f,Martha Bartlett with Kitten,,"(141, 136, 106)",#8d886a,141,136,106,154,128,126,#9a807e,0.88571,0.56757,1,0.17442,0.98459,0.17135,Cluster 2
23,14314,https://collectionapi.metmuseum.org/public/collection/v1/objects/14314,https://images.metmuseum.org/CRDImages/ad/original/DP169110.jpg,unprocessed/image-14314.png,30b68f7157404dfe0bd58e11a1cf7cc4,images/14314-00.png,f35cb41cb4d916320c3c2c843104fbd8,William Few,John Ramage,"(120, 115, 105)",#787369,120,115,105,123,125,105,#7b7d69,-0.25714,0.35135,0.26744,0.46512,0.25542,0.4604,Cluster 9
24,78434,https://collectionapi.metmuseum.org/public/collection/v1/objects/78434,https://images.metmuseum.org/CRDImages/as/original/DP326722.jpg,unprocessed/image-78434.png,ed53f08623b8a9d74be578f27367d36c,images/78434-00.png,e7719563fb410a8c8477b4debb056da1,"Buddhist disciple, or luohan, holding a peach",,"(181, 156, 120)",#b59c78,181,156,120,188,164,123,#bca47b,-0.82857,-0.51351,-0.96512,-0.2093,-0.97941,-0.19686,Cluster 1
25,10219,https://collectionapi.metmuseum.org/public/collection/v1/objects/10219,https://images.metmuseum.org/CRDImages/ad/original/ap68.107.jpg,unprocessed/image-10219.png,3b3ba6234ed1e05533ad93a614005d83,images/10219-00.png,9aec9844b3f994e5a7a6f196adf3a364,Joel Roberts Poinsett,Hugh Bridport,"(111, 111, 111)",#6f6f6f,111,111,111,111,111,111,#6f6f6f,0.77143,-0.94595,0.39535,-0.89535,0.37622,-0.89215,Cluster 6
26,437644,https://collectionapi.metmuseum.org/public/collection/v1/objects/437644,https://images.metmuseum.org/CRDImages/ep/original/DP-18558-001.jpg,unprocessed/image-437644.png,fb35bee9a52d7fe7828e58381c58ad06,images/437644-00.png,46a8dd8d3a8d98d5e547827f2be18c63,Portrait of a Man,Noah Seaman,"(144, 125, 125)",#907d7d,144,125,125,136,116,111,#88746f,-0.08571,0.45946,0.31395,0.60465,0.31746,0.59174,Cluster 9
27,10882,https://collectionapi.metmuseum.org/public/collection/v1/objects/10882,https://images.metmuseum.org/CRDImages/ad/original/DP161458.jpg,unprocessed/image-10882.png,9c2c3b26ab49ed4158fef73f6d5556fe,images/10882-00.png,e653a338385be5c165e147816115d69d,George Washington,Robert Field,"(163, 139, 119)",#a38b77,163,139,119,166,150,116,#a69674,-0.31429,0.94595,0.27907,0.98837,0.26864,0.98322,Cluster 10
28,437838,https://collectionapi.metmuseum.org/public/collection/v1/objects/437838,https://images.metmuseum.org/CRDImages/ep/original/DP124056.jpg,unprocessed/image-437838.png,8f235d06571fbd04e997f4a8c5befbb1,images/437838-00.png,97f6ff861f1f1ad00b5df46316f483c9,Woman in the Garden of Monsieur Forest,Henri de Toulouse-Lautrec,"(115, 106, 95)",#736a5f,115,106,95,118,97,82,#766152,-0.54286,0.02703,-0.05814,0.11628,-0.05349,0.11493,Cluster X
29,813594,https://collectionapi.metmuseum.org/public/collection/v1/objects/813594,https://images.metmuseum.org/CRDImages/ad/original/DP-18966-001.jpg,unprocessed/image-813594.png,e725a47bdd8fc89e8669838932e731f6,images/813594-00.png,8f07f5889ce4eae979cafc5d94d8d829,Pes-Ke-Le-Cha-Co,Henry Inman,"(83, 57, 36)",#533924,83,57,36,72,49,24,#483118,-0.02857,0.13514,0.36047,0.30233,0.36204,0.29538,Cluster 9
30,17075,https://collectionapi.metmuseum.org/public/collection/v1/objects/17075,https://images.metmuseum.org/CRDImages/ad/original/ap2001.693.jpg,unprocessed/image-17075.png,da7ddc596924310d515262e03091e9a2,images/17075-00.png,5f19ad84d57127a0262e9a06c77ece80,Portrait of a Gentleman,Nathaniel Rogers,"(140, 140, 140)",#8c8c8c,140,140,140,140,140,140,#8c8c8c,0.88571,-0.83784,0.55814,-0.84884,0.55294,-0.84931,Cluster X
31,16906,https://collectionapi.metmuseum.org/public/collection/v1/objects/16906,https://images.metmuseum.org/CRDImages/ad/original/DT4975.jpg,unprocessed/image-16906.png,54856c63c13aa5b4a00cb7dd74ad0e3e,images/16906-00.png,308093c7bd0172eac016b5f9d1db2721,Henry G. Stebbins,Henry Inman,"(103, 82, 58)",#67523a,103,82,58,105,94,48,#695e30,0.6,-0.24324,0.60465,-0.47674,0.59308,-0.48808,Cluster 4
32,435829,https://collectionapi.metmuseum.org/public/collection/v1/objects/435829,https://images.metmuseum.org/CRDImages/ep/original/DP208016.jpg,unprocessed/image-435829.png,dec22d9c1ae993942392f6f2b2f5dc14,images/435829-00.png,84c53caeed1e42ad55db2c4cc883cc76,Echo,Alexandre Cabanel,"(73, 55, 40)",#493728,73,55,40,56,68,31,#38441f,-0.65714,0.2973,-0.05814,0.37209,-0.06331,0.3744,Cluster 3
33,54593,https://collectionapi.metmuseum.org/public/collection/v1/objects/54593,https://images.metmuseum.org/CRDImages/as/original/14_76_29_23606.jpg,unprocessed/image-54593.png,aff86503411b777babd084e4cfbdbb48,images/54593-00.png,e45d5ad0e349030856b1683cd2a049e6,Daruma,Kano Sanraku,"(92, 97, 93)",#5c615d,92,97,93,111,80,78,#6f504e,-0.08571,-1,-0.06977,-0.63953,-0.06897,-0.63492,Cluster 8
34,12662,https://collectionapi.metmuseum.org/public/collection/v1/objects/12662,https://images.metmuseum.org/CRDImages/ad/original/ap81.12.jpg,unprocessed/image-12662.png,51aea2a000ce3d47e6afb876e6f84314,images/12662-00.png,219b2c5a725c23bbb27afc50985503cb,"David Sears, Jr.",Gilbert Stuart,"(105, 99, 88)",#696358,105,99,88,100,99,69,#646345,0.77143,-0.2973,0.65116,-0.54651,0.63195,-0.54998,Cluster 4
35,19015,https://collectionapi.metmuseum.org/public/collection/v1/objects/19015,https://images.metmuseum.org/CRDImages/ad/original/DP132146.jpg,unprocessed/image-19015.png,7d107bcfba0299e2a0c73a66c5179eba,images/19015-00.png,d1fb0485d7dad8d553e8cb36f9ea24f3,John Neagle,Daniel Dickinson,"(126, 100, 89)",#7e6459,126,100,89,125,104,102,#7d6866,0.94286,-0.24324,0.84884,-0.55814,0.83474,-0.55847,Cluster 4
36,436871,https://collectionapi.metmuseum.org/public/collection/v1/objects/436871,https://images.metmuseum.org/CRDImages/ep/original/DP169633.jpg,unprocessed/image-436871.png,260a5a6a3dab433a7de279a6e0b1e7dc,images/436871-00.png,d78566fb661348e34f4a15d4693dd45b,"Mary Capel (1630–1715), Later Duchess of Beaufort, and Her Sister Elizabeth (1633–1678), Countess of Carnarvon",Sir Peter Lely (Pieter van der Faes),"(87, 68, 53)",#574435,87,68,53,89,73,42,#59492a,0.88571,0.83784,0.96512,0.34884,0.95466,0.34963,Cluster 2
37,11207,https://collectionapi.metmuseum.org/public/collection/v1/objects/11207,https://images.metmuseum.org/CRDImages/ad/original/DT2784.jpg,unprocessed/image-11207.png,348d300996714f3d4f89610285ed8e2f,images/11207-00.png,484d8941527285ba385b23a381199058,The Flower Girl,Charles Cromwell Ingham,"(94, 65, 55)",#5e4137,94,65,55,100,81,52,#645134,0.2,0.45946,0.67442,0.52326,0.67003,0.52388,Cluster 2
38,436343,https://collectionapi.metmuseum.org/public/collection/v1/objects/436343,https://images.metmuseum.org/CRDImages/aa/original/DT326979.jpg,unprocessed/image-436343.png,22d1deffb334acabf083e9ca3e9edef1,images/436343-00.png,ec05f76ff2fa860e618c479476a9602b,"Alfonso II d'Este (1533–1597), Duke of Ferrara",Italian (Ferrarese) Painter,"(102, 78, 51)",#664e33,102,78,51,95,87,56,#5f5738,-0.08571,-0.08108,0.26744,-0.13953,0.25986,-0.13538,Cluster 5
39,10602,https://collectionapi.metmuseum.org/public/collection/v1/objects/10602,https://images.metmuseum.org/CRDImages/ad/original/ap37.176.3.jpg,unprocessed/image-10602.png,82eee9ea7b6ee1a24eb40683c6eed1d6,images/10602-00.png,3c485f9bcf83c58c6e76ca81f6cf104b,Alice Cushman,George Hewitt Cushman,"(142, 142, 142)",#8e8e8e,142,142,142,142,142,142,#8e8e8e,0.2,-0.94595,0.15116,-0.93023,0.12456,-0.93086,Cluster 6
40,54077,https://collectionapi.metmuseum.org/public/collection/v1/objects/54077,https://images.metmuseum.org/CRDImages/as/original/DP702324.jpg,unprocessed/image-54077.png,eaab8a6e5c1c88e443348482df25c576,images/54077-00.png,d2e2da597201798cc3fa2c84745ce17b,Female Attendant,,"(129, 113, 96)",#817160,129,113,96,149,107,94,#956b5e,-0.94286,-0.2973,-0.94186,-0.09302,-0.93604,-0.09503,Cluster 1
41,438544,https://collectionapi.metmuseum.org/public/collection/v1/objects/438544,https://images.metmuseum.org/CRDImages/ep/original/DP161652.jpg,unprocessed/image-438544.png,e74dc19e0b1c89239b19683c175bb776,images/438544-00.png,d732b78c7e5e2ceb453577611396d663,"Gustavus Hamilton (1710–1746), Second Viscount Boyne, in Masquerade Costume",Rosalba Carriera,"(105, 101, 97)",#696561,105,101,97,103,90,80,#675a50,-0.54286,0.78378,-0.04651,0.63953,-0.05006,0.63555,Cluster 3
42,641729,https://collectionapi.metmuseum.org/public/collection/v1/objects/641729,https://images.metmuseum.org/CRDImages/dp/original/DP890354.jpg,unprocessed/image-641729.png,9708d3ec91c88478c647c5812734b04d,images/641729-00.png,32ceda9d6949d1799b29443d109a3317,"Mary, Queen of Scots",Henry Meyer,"(157, 148, 143)",#9d948f,157,148,143,167,143,150,#a78f96,-0.31429,-0.67568,-0.22093,-0.51163,-0.22963,-0.51319,Cluster 8
43,44833,https://collectionapi.metmuseum.org/public/collection/v1/objects/44833,https://images.metmuseum.org/CRDImages/as/original/DT222.jpg,unprocessed/image-44833.png,17c9f93f884c1b8204e392dfbe14d746,images/44833-00.png,4314cea52856a6ce60d1025fcd5ede8a,Haniwa (Hollow Clay Sculpture) of a Warrior,,"(95, 63, 48)",#5f3f30,95,63,48,108,59,39,#6c3b27,-0.94286,-0.62162,-0.95349,-0.22093,-0.94464,-0.22063,Cluster 1
44,437085,https://collectionapi.metmuseum.org/public/collection/v1/objects/437085,https://images.metmuseum.org/CRDImages/ep/original/DP143161.jpg,unprocessed/image-437085.png,f6f93752131eb6d65c769fe8f33a8975,images/437085-00.png,a8d518254f268ec60c46f1b6f3653f9c,"Margaretha van Clootwijk (born about 1580/81, died 1662), Wife of Jacob van Dalen",Michiel Jansz. van Mierevelt,"(85, 69, 55)",#554537,85,69,55,79,62,61,#4f3e3d,0.31429,0.08108,0.53488,-0.01163,0.53312,-0.01661,Cluster 5
45,16593,https://collectionapi.metmuseum.org/public/collection/v1/objects/16593,https://images.metmuseum.org/CRDImages/ad/original/DP227266.jpg,unprocessed/image-16593.png,97723d09a4781d4c49bbfe009685ae04,images/16593-00.png,84c14e661176b13fb065c64892e0fef1,Elizabeth Green (Mrs. Ebenezer Storer II),John Singleton Copley,"(97, 79, 64)",#614f40,97,79,64,99,69,77,#63454d,0.77143,0.56757,0.89535,0.32558,0.89437,0.31985,Cluster 2
46,283182,https://collectionapi.metmuseum.org/public/collection/v1/objects/283182,https://images.metmuseum.org/CRDImages/ph/original/DP332503.jpg,unprocessed/image-283182.png,bf6d1e9aaed64b6d592aaeaded13de6d,images/283182-00.png,65d83ef89a523992a68aad6f38ec3a12,"Kno-Shr, Kansas Chief",John H. Fitzgibbon,"(51, 49, 45)",#33312d,51,49,45,53,41,48,#352930,-0.54286,-0.35135,-0.60465,-0.12791,-0.60285,-0.13178,Cluster 1
47,205194,https://collectionapi.metmuseum.org/public/collection/v1/objects/205194,https://images.metmuseum.org/CRDImages/es/original/DP-14061-073.jpg,unprocessed/image-205194.png,a16d6358c06da275809379f2e1da9bfb,images/205194-00.png,a8305adc98a5415efd239e60c2368c51,Boy dummy board,,"(135, 98, 74)",#87624a,135,98,74,131,119,67,#837743,-0.6,-0.35135,-0.75581,-0.13953,-0.76252,-0.139,Cluster 1
48,458983,https://collectionapi.metmuseum.org/public/collection/v1/objects/458983,https://images.metmuseum.org/CRDImages/rl/original/DT3032.jpg,unprocessed/image-458983.png,4f103edd12fdc7ea8c5397d7151fa425,images/458983-00.png,d41aa4ad84116f0dc70915daddded703,"Madonna and Child with Saints John the Baptist, Jerome, Peter Martyr, and Bernardino and Four Angels",Sano di Pietro (Ansano di Pietro di Mencio),"(154, 125, 73)",#9a7d49,154,125,73,169,131,73,#a98349,-1,0.18919,-0.33721,0.09302,-0.32814,0.10252,Cluster X
49,15090,https://collectionapi.metmuseum.org/public/collection/v1/objects/15090,https://images.metmuseum.org/CRDImages/ad/original/DP162131.jpg,unprocessed/image-15090.png,28ac9bab7e47ca374268c96bebd6d935,images/15090-00.png,37e65abeecaefc9354cf0132af12a360,John Inman,Henry Inman,"(136, 117, 100)",#887564,136,117,100,142,126,94,#8e7e5e,1,-0.40541,0.86047,-0.61628,0.84221,-0.61404,Cluster X
50,822756,https://collectionapi.metmuseum.org/public/collection/v1/objects/822756,https://images.metmuseum.org/CRDImages/dp/original/DP888817.jpg,unprocessed/image-822756.png,65d3c43da2d101b460517599733a92b5,images/822756-00.png,8bb210e4d8f25b12b7ec3b80b22bab0b,"Don't Move, from ""The Graphic"" Christmas Number",William Small,"(160, 130, 116)",#a08274,160,130,116,160,142,118,#a08e76,0.02857,-0.51351,0.23256,-0.2907,0.23405,-0.29195,Cluster 5
51,463798,https://collectionapi.metmuseum.org/public/collection/v1/objects/463798,https://images.metmuseum.org/CRDImages/md/original/DP142988.jpg,unprocessed/image-463798.png,bd55a29205bc9d3b3306d79c84e2beae,images/463798-00.png,716c0d08dbb761ec5fa8c05a3a88d3a9,Saint Bridget of Sweden,Master of Soeterbeeck,"(122, 91, 68)",#7a5b44,122,91,68,104,91,84,#685b54,-0.82857,-0.94595,-0.88372,-0.33721,-0.86465,-0.31878,Cluster 1
52,12631,https://collectionapi.metmuseum.org/public/collection/v1/objects/12631,https://images.metmuseum.org/CRDImages/ad/original/ap28.198.1.jpg,unprocessed/image-12631.png,cc344a03ea692ffa3697e564f4e81244,images/12631-00.png,f608ff3f1cad495b0c5228a99e992dcc,Mary Ann Garrits,Frederick R. Spencer,"(119, 85, 68)",#775544,119,85,68,126,75,53,#7e4b35,0.65714,0.62162,0.84884,0.44186,0.84183,0.434,Cluster 2
53,13057,https://collectionapi.metmuseum.org/public/collection/v1/objects/13057,https://images.metmuseum.org/CRDImages/ad/original/DT2070.jpg,unprocessed/image-13057.png,2033cb4dd26e1bd6a955c09877f4f7e4,images/13057-00.png,919062a3e341959d58ce8e0789118a1b,Young Lady with a Rose,Pieter Vanderlyn,"(122, 99, 67)",#7a6343,122,99,67,115,94,65,#735e41,0.94286,0.62162,0.98837,0.23256,0.98291,0.21627,Cluster 2
54,211511,https://collectionapi.metmuseum.org/public/collection/v1/objects/211511,https://images.metmuseum.org/CRDImages/es/original/173296.jpg,unprocessed/image-211511.png,e16d1be94848a024c1f8fb5ee4517d8d,images/211511-00.png,9a9882b455156217d3be05b302bbceb2,A Polish Nobleman,"Imperial Russian Tapestry Manufactory, Saint Petersburg","(74, 74, 74)",#4a4a4a,74,74,74,74,74,74,#4a4a4a,-0.88571,0.24324,-0.24419,0.18605,-0.25471,0.17929,Cluster X
55,53531,https://collectionapi.metmuseum.org/public/collection/v1/objects/53531,https://images.metmuseum.org/CRDImages/as/original/DT311941.jpg,unprocessed/image-53531.png,9147bd016a923995c8a4fd8ab69b99c6,images/53531-00.png,42c220faf8536863a1ed16f89692c850,Portrait of Qianlong Emperor As a Young Man,Unidentified Artist,"(155, 107, 71)",#9b6b47,155,107,71,138,118,67,#8a7643,-0.94286,0.78378,-0.43023,0.55814,-0.41599,0.53488,Cluster 3
56,436028,https://collectionapi.metmuseum.org/public/collection/v1/objects/436028,https://images.metmuseum.org/CRDImages/ep/original/ep29.100.119.bw.R.jpg,unprocessed/image-436028.png,929d51308af79f729944bf2e82c1c657,images/436028-00.png,12e36013cf0276471c27b388f1546971,"Portrait of a Woman, Called Héloïse Abélard",Gustave Courbet,"(137, 137, 137)",#898989,137,137,137,137,137,137,#898989,-0.77143,0.18919,-0.09302,0.22093,-0.10512,0.22375,Cluster X
57,11418,https://collectionapi.metmuseum.org/public/collection/v1/objects/11418,https://images.metmuseum.org/CRDImages/ad/original/DP201959.jpg,unprocessed/image-11418.png,fb03a7fdc1fe8e88c2e3a3248ad7cf9a,images/11418-00.png,a6bbccddf715f5736ac4f2dda78b9708,Worthington Whittredge,Emanuel Leutze,"(61, 42, 26)",#3d2a1a,61,42,26,65,41,9,#412909,-0.02857,-0.35135,0.24419,-0.23256,0.2393,-0.23676,Cluster 5
58,436642,https://collectionapi.metmuseum.org/public/collection/v1/objects/436642,https://images.metmuseum.org/CRDImages/ep/original/DP-18251-001.jpg,unprocessed/image-436642.png,6b68924da14b4f53202f4f447426547b,images/436642-00.png,b1cd6e11683b705ca132b2217ca5f49d,The Musician,Bartholomeus van der Helst,"(70, 52, 31)",#46341f,70,52,31,66,49,35,#423123,0.77143,0.40541,0.83721,0.31395,0.84205,0.32316,Cluster 2
